Participant ID,Condition,Timestamp(ms),Alarm ID,Timestamp,Action
2,A,1722941488086,1,2024-08-06 12:51:28:087,shown
2,A,1722941490557,1,2024-08-06 12:51:30:557,dismissed
2,A,1722941517927,2,2024-08-06 12:51:57:928,shown
2,A,1722941537949,2,2024-08-06 12:52:17:952,auto-dismissed
2,B,1722941590468,1,2024-08-06 12:53:10:469,shown
2,B,1722941594490,1,2024-08-06 12:53:14:493,dismissed
2,B,1722941620307,2,2024-08-06 12:53:40:309,shown
2,B,1722941640330,2,2024-08-06 12:54:00:335,auto-dismissed
2,B,1722941650288,3,2024-08-06 12:54:10:289,shown
2,B,1722941670312,3,2024-08-06 12:54:30:318,auto-dismissed
2,B,1722941680303,4,2024-08-06 12:54:40:306,shown
2,B,1722941700329,4,2024-08-06 12:55:00:335,auto-dismissed
2,B,1722941710315,5,2024-08-06 12:55:10:317,shown
2,B,1722941730341,5,2024-08-06 12:55:30:347,auto-dismissed
2,B,1722941740291,6,2024-08-06 12:55:40:292,shown
2,B,1722941760312,6,2024-08-06 12:56:00:318,auto-dismissed
2,B,1722941770312,7,2024-08-06 12:56:10:314,shown
2,B,1722941790338,7,2024-08-06 12:56:30:345,auto-dismissed
2,B,1722941800313,8,2024-08-06 12:56:40:314,shown
2,B,1722941820339,8,2024-08-06 12:57:00:344,auto-dismissed
2,C,1722942018746,1,2024-08-06 13:00:18:747,shown
2,C,1722942038783,1,2024-08-06 13:00:38:791,auto-dismissed
2,C,1722942048600,2,2024-08-06 13:00:48:601,shown
2,C,1722942052466,2,2024-08-06 13:00:52:467,dismissed
2,C,1722942078602,3,2024-08-06 13:01:18:604,shown
2,C,1722942098625,3,2024-08-06 13:01:38:628,auto-dismissed
2,C,1722942108598,4,2024-08-06 13:01:48:599,shown
2,C,1722942128622,4,2024-08-06 13:02:08:626,auto-dismissed
2,C,1722942138588,5,2024-08-06 13:02:18:589,shown
2,C,1722942141831,5,2024-08-06 13:02:21:832,dismissed
2,C,1722942168595,6,2024-08-06 13:02:48:597,shown
2,C,1722942188622,6,2024-08-06 13:03:08:625,auto-dismissed
2,C,1722942198595,7,2024-08-06 13:03:18:596,shown
2,C,1722942218613,7,2024-08-06 13:03:38:614,auto-dismissed
2,C,1722942228594,8,2024-08-06 13:03:48:595,shown
2,C,1722942231205,8,2024-08-06 13:03:51:207,dismissed
